cpu time, 12, 8, 2, G, 0.091482
Load time, 12, 8, 2, S, 0.004044
Load time, 12, 8, 2, T, 0.003770
copy-compute-copy time, 12, 8, 2, T, 0.073114
cpu time, 12, 8, 2, T, 0.081860
Load time, 12, 8, 4, G, 0.004078
copy-compute-copy time, 12, 8, 4, G, 0.076126
cpu time, 12, 8, 4, G, 0.022289
Load time, 12, 8, 4, S, 0.004360
Load time, 12, 8, 4, T, 0.004421
copy-compute-copy time, 12, 8, 4, T, 0.090117
cpu time, 12, 8, 4, T, 0.026951
Load time, 16, 4, 1, G, 0.004164
copy-compute-copy time, 16, 4, 1, G, 0.075244
cpu time, 16, 4, 1, G, 0.080924
Load time, 16, 4, 1, S, 0.004044
Load time, 16, 4, 1, T, 0.004094
copy-compute-copy time, 16, 4, 1, T, 0.073339
cpu time, 16, 4, 1, T, 0.080244
Load time, 16, 4, 2, G, 0.004032
copy-compute-copy time, 16, 4, 2, G, 0.074474
cpu time, 16, 4, 2, G, 0.023416
Load time, 16, 4, 2, S, 0.004337
Load time, 16, 4, 4, G, 0.004312
copy-compute-copy time, 16, 4, 4, G, 0.078169
cpu time, 16, 4, 4, G, 0.006877
Load time, 16, 4, 4, S, 0.004391
Load time, 16, 8, 1, G, 0.004361
copy-compute-copy time, 16, 8, 1, G, 0.084976
cpu time, 16, 8, 1, G, 0.350353
Load time, 16, 8, 1, S, 0.004264
Load time, 16, 8, 1, T, 0.004092
copy-compute-copy time, 16, 8, 1, T, 0.082067
cpu time, 16, 8, 1, T, 0.319762
Load time, 16, 8, 2, G, 0.004263
copy-compute-copy time, 16, 8, 2, G, 0.082748
cpu time, 16, 8, 2, G, 0.089445
Load time, 16, 8, 2, S, 0.003802
Load time, 16, 8, 2, T, 0.004396
copy-compute-copy time, 16, 8, 2, T, 0.088407
cpu time, 16, 8, 2, T, 0.090188
Load time, 16, 8, 4, G, 0.004032
copy-compute-copy time, 16, 8, 4, G, 0.069939
cpu time, 16, 8, 4, G, 0.022591
Load time, 16, 8, 4, S, 0.004084
Load time, 16, 8, 4, T, 0.004386
copy-compute-copy time, 16, 8, 4, T, 0.085139
cpu time, 16, 8, 4, T, 0.032589
Load time, 24, 4, 1, S, 0.004352
Load time, 24, 4, 1, T, 0.003852
copy-compute-copy time, 24, 4, 1, T, 0.069729
cpu time, 24, 4, 1, T, 0.079698
Load time, 24, 4, 2, G, 0.004346
copy-compute-copy time, 24, 4, 2, G, 0.081233
cpu time, 24, 4, 2, G, 0.028323
Load time, 24, 4, 2, S, 0.003856
Load time, 24, 4, 2, T, 0.004117
copy-compute-copy time, 24, 4, 2, T, 0.079772
cpu time, 24, 4, 2, T, 0.022171
Load time, 24, 4, 4, G, 0.004062
copy-compute-copy time, 24, 4, 4, G, 0.069321
cpu time, 24, 4, 4, G, 0.006436
Load time, 24, 4, 4, S, 0.003587
Load time, 24, 4, 4, T, 0.004062
copy-compute-copy time, 24, 4, 4, T, 0.070429
cpu time, 24, 4, 4, T, 0.006830
Load time, 24, 8, 1, G, 0.004066
copy-compute-copy time, 24, 8, 1, G, 0.077719
cpu time, 24, 8, 1, G, 0.363680
Load time, 24, 8, 1, S, 0.004395
Load time, 24, 8, 1, T, 0.004094
copy-compute-copy time, 24, 8, 1, T, 0.078722
cpu time, 24, 8, 1, T, 0.319351
Load time, 24, 8, 2, S, 0.004331
Load time, 24, 8, 2, T, 0.004359
copy-compute-copy time, 24, 8, 2, T, 0.076337
cpu time, 24, 8, 2, T, 0.107980
Load time, 24, 8, 4, G, 0.003767
copy-compute-copy time, 24, 8, 4, G, 0.084497
cpu time, 24, 8, 4, G, 0.026313
Load time, 24, 8, 4, S, 0.004043
Load time, 24, 8, 4, T, 0.004130
copy-compute-copy time, 24, 8, 4, T, 0.079774
cpu time, 24, 8, 4, T, 0.023140
Load time, 32, 4, 1, G, 0.003864
copy-compute-copy time, 32, 4, 1, G, 0.080529
cpu time, 32, 4, 1, G, 0.084411
Load time, 32, 4, 1, S, 0.004069
